CASEID	COUNTY	PUBLIC_WATER_SUPPLY	POPULATION_SERVED	SAMPLING_DATE	SAMPLE_NUMBER	RAW_OR_TREATED	PFOA_PFOS_PPT	TOTAL_TESTED_PFAS_PPT	METHOD
1	KALAMAZOO	Portage	46292	14-JUN-2018	GWEF1806141205GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
2	KALAMAZOO	Portage	46292	14-JUN-2018	GWEF1806141145GSC	Treated Drinking Water	ND	2	EPA 537 Rev. 1.1
3	KALAMAZOO	Portage	46292	14-JUN-2018	GWEF1806141315GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
4	KALAMAZOO	Portage	46292	14-JUN-2018	GWEF1806141115GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
5	KALAMAZOO	Portage	46292	14-JUN-2018	GWEF1806140930GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
6	KALAMAZOO	Portage	46292	14-JUN-2018	GWEF1806141025GSC	Treated Drinking Water	ND	13	EPA 537 Rev. 1.1
7	KALAMAZOO	Portage	46292	14-JUN-2018	GWEF1806141235GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
8	KALAMAZOO	Portage	46292	14-JUN-2018	GWEF1806141045GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
9	KENT	Spring Valley Mobile Home Park	172	17-APR-2018	GW1804171515CKA	Raw Water	23	43	EPA 537 Rev. 1.1
10	KENT	Whispering Pines	125	30-MAY-2018	GW1805301435EDK	Raw Water	6	64	EPA 537 Rev. 1.1
11	OAKLAND	Independence Township	11790	04-JUN-2018	GW1806041115EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
12	OAKLAND	Independence Township	11790	04-JUN-2018	GW1806041010EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
13	OAKLAND	Independence Township	11790	04-JUN-2018	GW1806040920EDK	Treated Drinking Water	ND	10	EPA 537 Rev. 1.1
